id	name	independence	hardwork	responsibility	imagination	tolerance	thrifty	determination	religion	unselfishness	obedience	
ARG	Argentina	44.00	57.70	72.10	25.20	71.50	15.40	23.50	25.60	8.70	44.60	
AUS	Australia	63.60	48.60	72.30	43.10	91.70	35.10	49.30	21.00	53.60	38.80	
BRA	Brazil	28.50	61.10	77.90	26.70	64.40	28.60	31.40	55.70	40.10	56.60	
BGR	Bulgaria	46.10	87.00	73.50	17.30	53.00	42.10	56.10	18.20	49.60	24.70	
BFA	Burkina Faso	31.20	80.40	38.70	19.20	69.40	47.50	27.10	68.10	39.40	70.50	
CAN	Canada	58.10	54.10	71.80	33.70	82.60	26.70	48.70	30.40	47.00	29.90	
CHL	Chile	40.30	27.20	82.80	25.70	79.50	39.90	44.60	39.70	31.80	51.90	
CHN	China	69.80	83.40	67.20	25.30	64.70	61.60	24.00	2.40	30.80	13.80	
COL	Colombia	33.50	19.00	82.90	17.80	84.10	48.20	20.10	47.70	53.40	59.20	
CYP	Cyprus	46.70	45.60	77.80	17.60	70.40	39.90	44.40	42.20	43.50	49.80	
EGY	Egypt	26.60	57.00	77.60	10.50	70.90	27.20	22.00	89.80	51.20	67.60	
ETH	Ethiopia	79.20	54.50	47.20	39.10	36.10	52.50	30.50	41.30	36.20	38.90	
FIN	Finland	69.30	14.70	90.10	37.90	86.70	26.10	64.30	12.00	30.10	32.70	
FRA	France	37.20	62.20	78.90	25.00	86.80	42.90	55.00	8.70	55.10	41.20	
GEO	Georgia	53.70	89.50	81.10	9.70	72.10	29.10	26.50	67.30	16.90	21.90	
DEU	Germany	77.60	26.00	85.10	39.60	74.60	48.20	64.20	9.30	6.80	15.80	
GHA	Ghana	37.20	79.10	44.30	17.10	70.70	19.60	43.30	72.60	33.10	81.70	
GTM	Guatemala	27.00	28.90	63.90	11.20	59.00	39.40	22.20	58.40	42.70	47.40	
HKG	Hong Kong	23.90	18.60	26.40	2.40	14.20	1.80	5.90	1.20	1.80	2.20	
HUN	Hungary	81.40	41.30	83.30	17.90	76.10	46.90	51.50	16.10	32.40	30.80	
IND	India	66.90	81.30	68.00	25.40	55.80	55.40	40.70	41.30	34.20	55.90	
IDN	Indonesia	82.00	59.40	83.90	18.20	59.10	47.30	41.50	90.60	32.60	53.30	
IRN	Iran	63.10	68.80	81.10	17.60	64.50	39.20	30.30	71.40	32.50	32.40	
IRQ	Iraq	28.90	63.40	82.90	9.10	85.20	31.60	20.80	89.90	9.40	73.30	
ITA	Italy	58.50	39.30	87.10	14.60	73.90	39.40	44.20	34.40	43.90	26.10	
JPN	Japan	80.00	32.40	90.60	30.80	74.50	52.30	67.20	5.60	50.30	5.10	
JOR	Jordan	42.80	42.60	59.80	17.80	74.60	25.30	30.80	84.00	56.00	64.90	
MYS	Malaysia	78.70	49.10	78.60	21.60	73.70	50.70	33.30	59.60	30.10	25.90	
MLI	Mali	42.40	72.60	45.00	23.60	59.90	44.10	24.40	59.60	33.90	52.30	
MEX	Mexico	40.80	24.30	77.80	24.60	78.10	39.40	36.30	38.80	47.60	58.30	
MDA	Moldova	44.90	79.40	69.60	20.80	66.50	53.20	25.20	41.60	32.30	16.80	
MAR	Morocco	54.80	51.00	69.00	26.20	58.60	45.00	27.30	68.20	36.60	50.90	
NLD	Netherlands	66.60	29.30	89.90	27.50	85.80	41.00	37.70	9.70	25.00	39.80	
NZL	New Zealand	53.20	41.10	63.00	35.10	82.50	33.30	48.70	14.60	38.50	24.40	
NOR	Norway	90.00	12.70	89.10	54.60	91.40	14.00	42.20	8.60	19.80	28.70	
PER	Peru	27.50	54.20	73.30	12.80	66.20	11.20	17.50	45.00	59.80	53.90	
POL	Poland	41.10	21.30	81.00	20.20	84.90	53.50	25.20	46.70	18.10	48.80	
ROU	Romania	29.10	83.30	68.80	18.10	58.60	53.00	30.30	62.80	23.20	17.50	
RUS	Russia	41.30	88.60	80.20	14.20	68.60	52.50	52.00	11.00	19.60	37.90	
RWA	Rwanda	25.60	83.10	54.20	18.00	63.80	24.10	58.60	37.60	50.10	78.80	
SRB	Serbia and Montenegro	63.90	67.50	66.70	21.60	63.90	35.00	49.30	25.10	32.70	44.10	
SVN	Slovenia	83.20	33.80	73.90	16.30	75.00	40.40	63.20	16.30	38.00	31.30	
ZAF	South Africa	58.80	70.70	54.80	15.60	77.90	36.90	32.90	56.20	30.60	46.80	
ESP	Spain	31.40	62.60	69.70	20.40	71.70	18.90	29.60	11.20	33.50	36.90	
SWE	Sweden	77.40	10.60	91.40	57.10	93.60	38.30	48.70	6.10	34.90	15.60	
CHE	Switzerland	77.70	20.30	90.50	48.10	91.70	23.30	72.40	12.60	14.30	18.40	
TWN	Taiwan	80.30	54.70	92.00	17.50	79.80	68.10	33.60	8.90	30.10	16.50	
THA	Thailand	48.20	22.90	60.60	28.50	58.00	57.70	46.20	29.50	31.00	53.80	
TTO	Trinidad and Tobago	54.80	63.90	58.10	6.30	82.20	32.30	26.10	68.90	23.70	72.30	
TUR	Turkey	39.20	78.80	74.90	22.30	70.10	38.90	36.70	42.20	31.30	45.80	
UKR	Ukraine	28.10	76.80	65.50	28.00	56.10	40.80	48.50	15.60	13.20	49.90	
GBR	United Kingdom	58.70	43.50	60.30	37.40	85.10	25.40	39.80	18.80	54.90	46.10	
